,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
1450,12/25/1969,22:31:06,16.062,-59.854,Earthquake,20.0,,,6.1,MW,,,,,,,ISCGEM801439,ISCGEM,ISCGEM,ISCGEM,Automatic
1451,12/26/1969,00:18:24,55.109,-160.395,Earthquake,39.8,,,5.6,MW,,,,,,,ISCGEM801452,ISCGEM,ISCGEM,ISCGEM,Automatic
1452,12/27/1969,14:03:04,16.086,-59.65,Earthquake,20.0,,,5.7,MW,,,,,,,ISCGEM801573,ISCGEM,ISCGEM,ISCGEM,Automatic
1453,12/28/1969,04:53:11,43.373,147.809,Earthquake,28.8,,,5.7,MW,,,,,,,ISCGEM801591,ISCGEM,ISCGEM,ISCGEM,Automatic
1454,12/29/1969,00:51:50,16.094,-59.753,Earthquake,23.8,,,5.9,MW,,,,,,,ISCGEM801638,ISCGEM,ISCGEM,ISCGEM,Automatic
1455,12/31/1969,19:01:56,28.532,129.075,Earthquake,25.0,,,6.3,MW,,,,,,,ISCGEM801741,ISCGEM,ISCGEM,ISCGEM,Automatic
1456,01/01/1970,17:11:00,-29.4,-177.169,Earthquake,35.0,,,5.6,MW,,,,,,,ISCGEM799588,ISCGEM,ISCGEM,ISCGEM,Automatic
1457,01/04/1970,17:00:41,24.185,102.543,Earthquake,11.3,,,7.1,MW,,,,,,,ISCGEM799712,ISCGEM,ISCGEM,ISCGEM,Automatic
1458,01/05/1970,11:49:10,23.984,102.732,Earthquake,15.0,,,5.9,MW,,,,,,,ISCGEM799745,ISCGEM,ISCGEM,ISCGEM,Automatic
1459,01/06/1970,05:35:54,-9.583,151.493,Earthquake,15.0,,,6.3,MW,,,,,,,ISCGEM799772,ISCGEM,ISCGEM,ISCGEM,Automatic
1460,01/07/1970,07:56:14,15.785,-59.808,Earthquake,36.7,,,6.0,MW,,,,,,,ISCGEM799824,ISCGEM,ISCGEM,ISCGEM,Automatic
1461,01/08/1970,17:12:41,-34.85,178.782,Earthquake,199.4,,,6.8,MW,,,,,,,ISCGEM799872,ISCGEM,ISCGEM,ISCGEM,Automatic
1462,01/09/1970,23:16:22,-9.166,117.235,Earthquake,66.6,,,5.8,MW,,,,,,,ISCGEM799928,ISCGEM,ISCGEM,ISCGEM,Automatic
1463,01/10/1970,12:07:07,6.785,126.682,Earthquake,40.0,,,7.2,MW,,,,,,,ISCGEM799944,ISCGEM,ISCGEM,ISCGEM,Automatic
1464,01/10/1970,13:59:37,6.71,126.863,Earthquake,40.0,,,5.7,MW,,,,,,,ISCGEM799952,ISCGEM,ISCGEM,ISCGEM,Automatic
1465,01/10/1970,14:16:28,6.71,126.765,Earthquake,40.0,,,5.7,MW,,,,,,,ISCGEM799953,ISCGEM,ISCGEM,ISCGEM,Automatic
1466,01/11/1970,05:02:05,7.326,126.857,Earthquake,45.0,,,6.0,MW,,,,,,,ISCGEM799983,ISCGEM,ISCGEM,ISCGEM,Automatic
1467,01/14/1970,02:22:36,-10.169,123.233,Earthquake,25.0,,,6.0,MW,,,,,,,ISCGEM800066,ISCGEM,ISCGEM,ISCGEM,Automatic
